1,bobbie@gmail.com,Asdf1234!!
2,dannie@gmail.com,Asdf1234!*
3,harrypotter@gmail.com,Asdf1235!*
4,harrietpotter@gmail.com,ASdf1235!*
5,lilyjones@gmail.com,Asdf1244!!
6,lilyjones23@gmail.com,Abcd1244abcd!
7,lilyhellenjenkins1@gmail.com,Abcd1244efgh
8,lilyhellenjenkins12@gmail.com,Abcd1244#1
9,georgieg@gmail.com,App1244x!!
10,georgiegg@gmail.com,App1244xx!!
11,zendaya@gmail.com,HappyChappy1234!
12,zendaya1@gmail.com,Happychappy1234!
13,zendaya11@gmail.com,Happychappy5678!
14,hello@gmail.com,abc123Ahix%@!
15,hello1@gmail.com,Abc123!hixd
16,hello@hotmail.com,hamBurgerr123!
17,benjilala@hotmail.com,Blahblahblah3
18,bob@yahoo.com,BobTheBuilder1
19,emma@hotmail.com,holaAmigos1
20,emma33@hotmail.com,holaAmigos1
21,barrytrotter@yahoo.com,yerawizardBT3
22,timmy@gmail.com,Testone1234!
23,timmy2@gmail.com,Testone1234!
24,billy@yahoo.com,Helloworld123
25,hola@gmail.com,HellowWorld123
26,4@gmail.com,Abc123!hix
27,a@gmail.com,Helloworld1
28,aa@gmail.com,Rainbowsf529
29,amy22@gmail.com,Rainbowsf5
30,timmy3@gmail.com,TestOne123!
31,newUser@gmail.com,NewPassword1
32,timmy1234@gmail.com,TestOne1234!
33,timmmy@gmail.com,Teston1234!
34,timmy123412@gmail.com,TestOne123!
35,timmy1234125@gmail.com,TestOne12341!
