1,2021-11-04 15:39:39,bobbie@gmail.com,CANCEL
2,2021-11-04 16:50:16,bobbie@gmail.com,CANCEL
3,2021-11-04 16:50:33,bobbie@gmail.com,CANCEL
4,2021-11-04 16:50:56,bobbie@gmail.com,CANCEL
5,2021-11-04 16:51:07,bobbie@gmail.com,CANCEL
6,2021-11-04 16:51:18,bobbie@gmail.com,CANCEL
7,2021-11-04 16:51:25,bobbie@gmail.com,CANCEL
8,2021-11-04 16:54:30,bobbie@gmail.com,CANCEL
9,2021-11-04 16:54:34,bobbie@gmail.com,CANCEL
10,2021-11-04 16:54:37,bobbie@gmail.com,CANCEL
11,2021-11-04 16:54:39,bobbie@gmail.com,CANCEL
12,2021-11-04 16:54:43,bobbie@gmail.com,CANCEL
13,2021-11-04 16:54:47,bobbie@gmail.com,CANCEL
14,2021-11-04 16:54:51,bobbie@gmail.com,CANCEL
15,2021-11-04 16:55:06,bobbie@gmail.com,CANCEL
16,2021-11-04 16:55:10,bobbie@gmail.com,CANCEL
17,2021-11-04 16:57:59,bobbie@gmail.com,CANCEL
18,2021-11-04 16:58:33,bobbie@gmail.com,CANCEL
19,2021-11-04 17:33:20,bobbie@gmail.com,TIMEOUT
20,2021-11-05 16:10:03,hello@gmail.com,CANCEL
20,2021-11-05 16:24:34,hello@gmail.com,TIMEOUT
