1,bob,bobbie@gmail.com,0412345678,Password123,F,CUSTOMER
2,harry,harrypotter@gmail.com,0422345679,Password123!*,F,CUSTOMER
3,dan,dannie@gmail.com,0412345679,Asdf1234!*,F,CUSTOMER
4,harry,hp@gmail.com,0433345639,Password123!*,F,CUSTOMER
5,lilly,lilyjones@gmail.com,0422345678,Lalala1234,F,CUSTOMER
6,Anna,anna@yahoo.com,0412345881,Lalala1234,F,CUSTOMER
7,helen,hhh@gmail.com,0423456719,Asdf1234!*,T,CUSTOMER
8,Anna,anna@gmail.com,0411111111,Asdf1234!*,F ,CUSTOMER
11,Tim,manager@gmail.com,0412266666,Testone1234!,F,MANAGER
12,Basil,basilLeaves@gmail.com,0412278120,Asdf1234!*,T,CUSTOMER
13,kexu,kexu4389@gmail.com,0422392204,Testone1234!,F,STAFF
14,JustForTest,h,0412278120,a,F,CUSTOMER
15,Jenkins,newStaff1234@gmail.com,0498999162,McJenkins1234!,F,STAFF
