Available,Reserved,Available,Available,Available,Available,Available,Available
Reserved,Available,Available,Available,Available,Available,Available,Available
Reserved,Available,Available,Available,Available,Available,Available,Available
Available,Available,Available,Available,Available,Available,Reserved,Available
Available,Available,Available,Available,Available,Available,Reserved,Available
Available,Available,Available,Available,Available,Available,Available,Available
Reserved,Available,Available,Available,Available,Available,Available,Available
Available,Available,Available,Available,Available,Available,Available,Available
Available,Available,Available,Available,Available,Available,Available,Available
Available,Available,Available,Available,Available,Available,Reserved,Available
