1,bobbie@gmail.com,Asdf1234!!
2,dannie@gmail.com,Asdf1234!*
3,harrypotter@gmail.com,Asdf1235!*
4,harrietpotter@gmail.com,ASdf1235!*
5,lilyjones@gmail.com,Asdf1244!!
6,lilyjones23@gmail.com,Abcd1244abcd!
7,lilyhellenjenkins1@gmail.com,Abcd1244efgh
8,lilyhellenjenkins12@gmail.com,Abcd1244#1
9,georgieg@gmail.com,App1244x!!
10,georgiegg@gmail.com,App1244xx!!
11,zendaya@gmail.com,HappyChappy1234!
12,zendaya1@gmail.com,Happychappy1234!
13,zendaya11@gmail.com,Happychappy5678!
14,hello@gmail.com,abc123Ahix%@!
15,hello1@gmail.com,Abc123!hixd
16,hello@hotmail.com,hamBurgerr123!
17,benjilala@hotmail.com,Blahblahblah3
18,bob@yahoo.com,BobTheBuilder1
