1,bob,bobbie@gmail.com,0412345678,1234,Password123,111111111111111,1,0
2,dan,dannie@gmail.com,0412345679,1234,Asdf1234!*,1111111111111112,1,0
3,harry,harrypotter@gmail.com,0422345679,1234,Password123!*,1111111111111113,1,0
4,harry,harrietpotter@gmail.com,0433345639,1234,Password123!*,1111111111111114,1,0
5,lilly,lilyjones@gmail.com,0422345678,1234,Password123!!,1111111111111115,1,0
6,lilly,lilyjones23@gmail.com,0421115678,1234,Password123!,1111111111111116,1,0
7,lilly,lilyhellenjenkins1@gmail.com,0521115628,1234,Password123,1111111111111117,1,0
8,lilly,lilyhellenjenkins12@gmail.com,0521115618,1234,Password123#1,1111111111111111,1,0
9,geo,georgieg@gmail.com,0411115118,1234,Password123!!,1111111111111118,1,0
10,geo,georgiegg@gmail.com,0418115118,1234,Password123!!,1111111111111119,1,0
11,zaya,zendaya@gmail.com,0413379555,1234,HappyChappy1234!,1111111111111110,1,0
12,zaya,zendaya1@gmail.com,0453378551,1234,Happychappy1234!,1111111111111120,1,0
13,zaya,zendaya11@gmail.com,0453278221,1234,Happychappy5678!,1111111111111121,1,0
